CMDLINE C:\ProgramData\Miniconda3\python.exe camera.py
MEM 1.695312 1628790167.2877
MEM 15.207031 1628790167.3885
MEM 27.597656 1628790167.4886
MEM 39.765625 1628790167.5900
MEM 76.121094 1628790167.6920
MEM 92.488281 1628790167.7921
MEM 104.847656 1628790167.8921
MEM 118.476562 1628790167.9941
MEM 126.613281 1628790168.0961
MEM 131.722656 1628790168.1961
MEM 137.003906 1628790168.2980
MEM 144.179688 1628790168.3999
MEM 147.804688 1628790168.5012
MEM 153.671875 1628790168.6031
MEM 159.269531 1628790168.7033
MEM 169.113281 1628790168.8043
MEM 174.257812 1628790168.9056
MEM 181.621094 1628790169.0076
MEM 191.957031 1628790169.1076
MEM 193.468750 1628790169.2096
MEM 196.496094 1628790169.3116
MEM 197.750000 1628790169.4136
MEM 203.117188 1628790169.5137
MEM 203.949219 1628790169.6139
MEM 205.878906 1628790169.7140
MEM 206.339844 1628790169.8141
MEM 207.320312 1628790169.9142
MEM 210.937500 1628790170.0144
MEM 220.785156 1628790170.1153
MEM 220.785156 1628790170.2155
MEM 220.785156 1628790170.3172
MEM 220.785156 1628790170.4185
MEM 220.785156 1628790170.5185
MEM 220.785156 1628790170.6186
MEM 220.785156 1628790170.7205
MEM 220.785156 1628790170.8225
MEM 220.785156 1628790170.9226
MEM 220.820312 1628790171.0245
MEM 220.820312 1628790171.1246
MEM 220.820312 1628790171.2246
MEM 220.859375 1628790171.3251
MEM 281.953125 1628790171.4251
MEM 304.476562 1628790171.5271
MEM 371.691406 1628790171.6286
MEM 434.058594 1628790171.7286
MEM 478.175781 1628790171.8286
MEM 524.515625 1628790171.9286
MEM 587.714844 1628790172.0306
MEM 656.593750 1628790172.1326
MEM 677.472656 1628790172.2326
MEM 735.007812 1628790172.3339
MEM 738.148438 1628790172.4339
MEM 738.398438 1628790172.5359
MEM 738.648438 1628790172.6365
MEM 738.777344 1628790172.7385
MEM 739.023438 1628790172.8385
MEM 739.210938 1628790172.9404
MEM 739.648438 1628790173.0424
MEM 739.953125 1628790173.1444
MEM 740.019531 1628790173.2456
MEM 740.273438 1628790173.3476
MEM 744.078125 1628790173.4496
MEM 744.078125 1628790173.5502
MEM 744.078125 1628790173.6516
MEM 744.078125 1628790173.7535
MEM 744.078125 1628790173.8543
MEM 744.078125 1628790173.9543
MEM 744.328125 1628790174.0557
MEM 744.679688 1628790174.1564
MEM 744.765625 1628790174.2583
MEM 744.855469 1628790174.3596
MEM 744.855469 1628790174.4616
MEM 747.605469 1628790174.5636
MEM 747.613281 1628790174.6636
MEM 747.613281 1628790174.7636
MEM 747.613281 1628790174.8656
MEM 747.613281 1628790174.9676
MEM 747.738281 1628790175.0696
MEM 747.738281 1628790175.1696
MEM 747.863281 1628790175.2714
MEM 748.027344 1628790175.3734
MEM 748.027344 1628790175.4748
MEM 748.027344 1628790175.5755
MEM 748.027344 1628790175.6756
MEM 748.027344 1628790175.7770
MEM 748.027344 1628790175.8789
MEM 748.027344 1628790175.9805
MEM 748.027344 1628790176.0825
MEM 748.027344 1628790176.1845
MEM 748.027344 1628790176.2858
MEM 748.027344 1628790176.3878
MEM 748.039062 1628790176.4878
MEM 748.042969 1628790176.5878
MEM 748.042969 1628790176.6898
MEM 748.042969 1628790176.7918
MEM 748.042969 1628790176.8918
MEM 748.042969 1628790176.9924
MEM 748.042969 1628790177.0937
MEM 748.042969 1628790177.1937
MEM 748.105469 1628790177.2937
MEM 748.292969 1628790177.3957
MEM 748.292969 1628790177.4957
MEM 748.304688 1628790177.5977
MEM 748.429688 1628790177.6997
MEM 748.460938 1628790177.8017
MEM 748.460938 1628790177.9017
MEM 748.562500 1628790178.0037
MEM 748.703125 1628790178.1057
MEM 748.714844 1628790178.2057
MEM 748.714844 1628790178.3060
MEM 748.714844 1628790178.4073
MEM 748.714844 1628790178.5092
MEM 748.718750 1628790178.6093
MEM 748.718750 1628790178.7093
MEM 748.718750 1628790178.8112
MEM 748.718750 1628790178.9112
MEM 748.718750 1628790179.0113
MEM 748.718750 1628790179.1132
MEM 748.718750 1628790179.2152
MEM 748.718750 1628790179.3172
MEM 748.878906 1628790179.4181
MEM 748.878906 1628790179.5194
MEM 749.128906 1628790179.6194
MEM 749.128906 1628790179.7194
MEM 749.191406 1628790179.8194
MEM 749.566406 1628790179.9214
MEM 749.816406 1628790180.0234
MEM 749.816406 1628790180.1254
MEM 749.816406 1628790180.2254
MEM 749.816406 1628790180.3274
MEM 749.816406 1628790180.4294
MEM 750.191406 1628790180.5314
MEM 750.640625 1628790180.6334
MEM 751.664062 1628790180.7334
MEM 751.664062 1628790180.8334
MEM 751.785156 1628790180.9354
MEM 751.796875 1628790181.0359
MEM 751.796875 1628790181.1378
MEM 751.796875 1628790181.2397
MEM 751.796875 1628790181.3417
MEM 751.796875 1628790181.4426
MEM 751.796875 1628790181.5440
MEM 751.796875 1628790181.6440
MEM 751.796875 1628790181.7460
MEM 751.796875 1628790181.8479
MEM 751.796875 1628790181.9480
MEM 751.796875 1628790182.0500
MEM 751.796875 1628790182.1500
MEM 751.796875 1628790182.2520
MEM 751.796875 1628790182.3540
MEM 751.796875 1628790182.4548
MEM 751.796875 1628790182.5561
MEM 751.796875 1628790182.6561
MEM 751.796875 1628790182.7581
MEM 751.796875 1628790182.8581
MEM 751.796875 1628790182.9581
MEM 751.796875 1628790183.0581
MEM 751.796875 1628790183.1581
MEM 751.796875 1628790183.2601
MEM 751.796875 1628790183.3601
MEM 751.796875 1628790183.4610
MEM 751.796875 1628790183.5624
MEM 751.796875 1628790183.6624
MEM 751.796875 1628790183.7632
MEM 751.800781 1628790183.8652
MEM 751.800781 1628790183.9666
MEM 751.800781 1628790184.0686
MEM 751.800781 1628790184.1706
MEM 751.800781 1628790184.2726
MEM 751.800781 1628790184.3726
MEM 751.800781 1628790184.4746
MEM 751.800781 1628790184.5766
MEM 751.800781 1628790184.6766
MEM 751.800781 1628790184.7786
MEM 751.800781 1628790184.8806
MEM 751.800781 1628790184.9826
MEM 751.800781 1628790185.0846
MEM 751.812500 1628790185.1846
MEM 751.812500 1628790185.2866
MEM 751.816406 1628790185.3886
MEM 751.816406 1628790185.4886
MEM 751.816406 1628790185.5906
MEM 751.816406 1628790185.6906
MEM 751.816406 1628790185.7926
MEM 751.816406 1628790185.8926
MEM 751.816406 1628790185.9946
MEM 751.816406 1628790186.0966
MEM 751.816406 1628790186.1977
MEM 751.816406 1628790186.2990
MEM 751.816406 1628790186.4011
MEM 751.816406 1628790186.5020
MEM 751.816406 1628790186.6033
MEM 751.816406 1628790186.7053
MEM 751.816406 1628790186.8053
MEM 751.816406 1628790186.9073
MEM 751.816406 1628790187.0073
MEM 751.816406 1628790187.1073
MEM 751.816406 1628790187.2093
MEM 751.816406 1628790187.3093
MEM 751.816406 1628790187.4093
MEM 751.816406 1628790187.5113
MEM 751.816406 1628790187.6133
MEM 751.816406 1628790187.7153
MEM 751.816406 1628790187.8154
MEM 751.816406 1628790187.9173
MEM 751.816406 1628790188.0193
MEM 751.816406 1628790188.1201
MEM 751.816406 1628790188.2214
MEM 751.816406 1628790188.3234
MEM 751.816406 1628790188.4254
MEM 751.816406 1628790188.5255
MEM 751.816406 1628790188.6274
MEM 751.816406 1628790188.7294
MEM 751.816406 1628790188.8294
MEM 751.816406 1628790188.9295
MEM 751.816406 1628790189.0315
MEM 751.816406 1628790189.1334
MEM 751.816406 1628790189.2341
MEM 751.816406 1628790189.3355
MEM 751.816406 1628790189.4355
MEM 751.816406 1628790189.5375
MEM 751.816406 1628790189.6395
MEM 751.816406 1628790189.7395
MEM 751.816406 1628790189.8415
MEM 751.816406 1628790189.9435
MEM 751.816406 1628790190.0435
MEM 751.816406 1628790190.1455
MEM 752.003906 1628790190.2475
MEM 752.128906 1628790190.3475
MEM 752.503906 1628790190.4495
MEM 752.941406 1628790190.5495
MEM 753.378906 1628790190.6501
MEM 753.941406 1628790190.7515
MEM 754.378906 1628790190.8515
MEM 754.941406 1628790190.9535
MEM 755.441406 1628790191.0535
MEM 756.003906 1628790191.1535
MEM 756.378906 1628790191.2541
MEM 757.003906 1628790191.3554
MEM 757.542969 1628790191.4574
MEM 757.753906 1628790191.5594
MEM 757.753906 1628790191.6594
MEM 757.753906 1628790191.7594
MEM 757.753906 1628790191.8614
MEM 757.757812 1628790191.9634
MEM 757.761719 1628790192.0634
MEM 757.761719 1628790192.1634
MEM 757.761719 1628790192.2634
MEM 757.761719 1628790192.3634
MEM 757.761719 1628790192.4654
MEM 757.761719 1628790192.5654
MEM 757.761719 1628790192.6674
MEM 757.761719 1628790192.7694
MEM 758.746094 1628790192.8694
MEM 758.750000 1628790192.9714
MEM 758.750000 1628790193.0734
MEM 758.750000 1628790193.1754
MEM 758.753906 1628790193.2774
MEM 758.757812 1628790193.3774
MEM 758.761719 1628790193.4774
MEM 758.761719 1628790193.5794
MEM 758.761719 1628790193.6814
MEM 758.761719 1628790193.7814
MEM 758.761719 1628790193.8835
MEM 758.761719 1628790193.9854
MEM 758.761719 1628790194.0874
MEM 758.761719 1628790194.1894
MEM 758.761719 1628790194.2894
MEM 758.761719 1628790194.3914
MEM 758.761719 1628790194.4914
MEM 758.761719 1628790194.5914
MEM 758.761719 1628790194.6934
